ZIP,Size of adjusted gross income,number of returns,single returns,joint returns,Adjusted gross income
46162,"$100,000 under $200,000",70,** ,70,12950
46162,"$200,000 or more",** ,** ,** ,** 
,,,,,
46163,,"6,460","2,480","3,410","548,707"
46163,"$1 under $25,000",1780,1410,210,18420
46163,"$25,000 under $50,000",1060,580,320,39036
46163,"$50,000 under $75,000",800,260,390,49896
46163,"$75,000 under $100,000",750,110,590,65309
46163,"$100,000 under $200,000",1660,120,1510,225020
46163,"$200,000 or more",410,** ,390,151026
,,,,,
46164,,"2,100",860,"1,000","124,189"
46164,"$1 under $25,000",640,440,120,7602
46164,"$25,000 under $50,000",510,250,170,18881
46164,"$50,000 under $75,000",340,100,200,21010
46164,"$75,000 under $100,000",270,50,200,23133
46164,"$100,000 under $200,000",290,20,260,37560
46164,"$200,000 or more",50,** ,50,16003
,,,,,
46165,,720,310,330,"47,198"
46165,"$1 under $25,000",220,170,30,2341
46165,"$25,000 under $50,000",170,90,50,6032
46165,"$50,000 under $75,000",100,30,60,6050
