ZIP,City,County,Adjust Gross Income,Number of returns
47264,Norman,Jackson,11689,140
47265,North Vernon,Jennings,19071,150
47270,Paris Crossing,Jennings,9176,30
47272,Saint Paul,Decatur,,
47273,Scipio,Jennings,20049,250
47274,Seymour,Jackson,680,70
47280,Taylorsville,Bartholomew,1591,50
47281,Vallonia,Jackson,2131,30
47282,Vernon,Jennings,2697,30
47283,Westport,Decatur,12950,70
47302,Muncie,Delaware,** ,** 
47303,Muncie,Delaware,,
47304,Muncie,Delaware,548707,6460
47305,Muncie,Delaware,18420,1780
47306,Muncie,Delaware,39036,1060
47307,Muncie,Delaware,49896,800
47308,Muncie,Delaware,65309,750
47320,Albany,Delaware,225020,1660
47322,Bentonville,Fayette,151026,410
47324,Boston,Wayne,,
47325,Brownsville,Union,124189,2100
47326,Bryant,Jay,7602,640
47327,Cambridge City,Wayne,18881,510
47330,Centerville,Wayne,21010,340
47331,Connersville,Fayette,23133,270
47334,Daleville,Delaware,37560,290
47335,Dublin,Wayne,16003,50
47336,Dunkirk,Jay,,
47337,Dunreith,Henry,47198,720
47338,Eaton,Delaware,2341,220
47339,Economy,Wayne,6032,170
47340,Farmland,Randolph,6050,100
47341,Fountain City,Wayne,5970,70
47342,Gaston,Delaware,16894,130
47344,Greensboro,Henry,9911,30
47345,Greens Fork,Wayne,,
47346,Hagerstown,Wayne,47272,1040
47348,Hartford City,Blackford,4492,390
47351,Kennard,Henry,10280,280
47352,Lewisville,Henry,9600,160
47353,Liberty,Union,8810,100
47354,Losantville,Randolph,14090,110
47355,Lynn,Randolph,** ,** 
47356,Middletown,Henry,,
47357,Milton,Wayne,258637,3450
47358,Modoc,Randolph,10415,990
47359,Montpelier,Blackford,23720,650
47360,Mooreland,Henry,26637,430
47361,Mount Summit,Henry,39002,450
47362,New Castle,Henry,103527,760
47366,New Lisbon,Henry,55336,170
47367,Oakville,Delaware,,
47368,Parker City,Randolph,1071096,16560
47369,Pennville,Jay,60072,5120
47370,Pershing,Wayne,139652,3790
47371,Portland,Jay,155706,2520
47373,Redkey,Jay,154264,1780
47374,Richmond,Wayne,379217,2850
47375,Richmond,Wayne,182185,500
47380,Ridgeville,Randolph,,
47381,Salamonia,Jay,41043,830
47382,Saratoga,Randolph,3344,280
47383,Selma,Delaware,7756,210
47384,Shirley,Henry,9175,150
47385,Spiceland,Henry,8590,100
47386,Springport,Henry,12178,90
47387,Straughn,Henry,** ,** 
47388,Sulphur Springs,Henry,,
47390,Union City,Randolph,53999,1100
47392,Webster,Wayne,5065,420
47393,Williamsburg,Wayne,9901,270
47394,Winchester,Randolph,10007,160
47396,Yorktown,Delaware,10032,120
47401,Bloomington,Monroe,18994,130
47402,Bloomington,Monroe,** ,** 
47403,Bloomington,Monroe,,
47404,Bloomington,Monroe,232603,4990
47405,Bloomington,Monroe,22825,1970
47406,Bloomington,Monroe,48600,1350
47407,Bloomington,Monroe,44181,720
47408,Bloomington,Monroe,38081,440
47420,Avoca,Lawrence,58409,450
47421,Bedford,Lawrence,20507,60
47424,Bloomfield,Greene,,
47426,Clear Creek,Monroe,11730,260
47427,Coal City,Owen,1287,100
47429,Ellettsville,Monroe,2758,80
47430,Fort Ritner,Lawrence,2568,40
47431,Freedom,Owen,1983,20
47432,French Lick,Orange,3134,20
47433,Gosport,Owen,** ,** 
47434,Harrodsburg,Monroe,,
47435,Helmsburg,Brown,677130,13440
47436,Heltonville,Lawrence,58862,5000
47437,Huron,Lawrence,132686,3650
47438,Jasonville,Greene,122569,1990
47439,Koleen,Greene,106815,1240
47441,Linton,Greene,172058,1320
47443,Lyons,Greene,84140,240
47445,Midland,Greene,,
47446,Mitchell,Lawrence,28275,490
47448,Nashville,Brown,1899,160
47449,Newberry,Greene,4431,120
47451,Oolitic,Lawrence,4532,70
47452,Orleans,Orange,5507,60
47453,Owensburg,Greene,11906,80
47454,Paoli,Orange,** ,** 
47455,Patricksburg,Owen,,
47456,Quincy,Owen,179570,2460
47457,Scotland,Greene,8657,790
47458,Smithville,Monroe,18321,500
47459,Solsberry,Greene,21516,350
47460,Spencer,Owen,26697,300
47462,Springville,Lawrence,54689,410
47463,Stanford,Monroe,49690,110
47464,Stinesville,Monroe,,
47465,Switz City,Greene,44834,880
47467,Tunnelton,Lawrence,3039,290
47468,Unionville,Monroe,8131,220
47469,West Baden Springs,Orange,9844,160
47470,Williams,Lawrence,9337,110
47471,Worthington,Greene,14483,100
47490,Bloomington,Monroe,** ,** 
47501,Washington,Daviess,,
47512,Bicknell,Knox,325210,6050
47513,Birdseye,Dubois,23096,1990
47514,Branchville,Perry,56706,1540
47515,Bristow,Perry,60557,990
47516,Bruceville,Knox,66663,770
47519,Cannelburg,Daviess,88944,690
47520,Cannelton,Perry,29244,70
47521,Celestine,Dubois,,
47522,Crane,Martin,52714,850
47523,Dale,Spencer,3276,270
47524,Decker,Knox,7091,190
47525,Derby,Perry,9512,150
47527,Dubois,Dubois,8909,100
47528,Edwardsport,Knox,14343,110
47529,Elnora,Daviess,9583,30
47531,Evanston,Spencer,,
47532,Ferdinand,Dubois,417279,13160
47535,Freelandville,Knox,90339,7040
47536,Fulda,Spencer,139446,3940
47537,Gentryville,Spencer,75922,1250
